VI;12;8,1,2,3,4,5,6,7,8,9,10,11,12,
A,80,76,72,68,64,60,56,52,48,44,40,36,
B,77,73,69,65,61,57,53,49,45,41,37,33,
C,74,70,66,62,58,54,50,46,42,38,34,30,
D,71,67,63,59,55,51,47,43,39,35,31,27,
E,68,64,60,56,52,48,44,40,36,32,28,24,
F,65,61,57,53,49,45,41,37,33,29,25,21,
G,62,58,54,50,46,42,38,34,30,26,22,18,
H,59,55,51,47,43,39,35,31,27,23,19,15,






,,,,,,,,,,,,,Cell A1 always must contain the dimensions of the pipette tool. This is validated against the tool.
,,,,,,,,,,,,,Row 1 starting at column B is reserved for the plate column labels but is not required. Just there for readability.
,,,,,,,,,,,,,Column A starting at row 2 is reserved for the plate row labels but is not required. Just there for readability.
,,,,,,,,,,,,,Individual well command format: <Destination well>;<Volume>;<lead air gap>;<trailing air gap>;<VVP residual volume>
,,,,,,,,,,,,,Separator hierarchy is comma between channel instructions and a semi-colon (;) between dispense parameters.
,,,,,,,,,,,,,An empty entry or a volume that is less than or equal to 0 means no channel operation will occur.
,,,,,,,,,,,,,All destination well names will be validated against the destination plate.
